step,loss
1,1.009768
10,0.886704
20,0.805883
30,0.770113
40,0.742574
50,0.718851
60,0.680663
70,0.658522
80,0.636901
90,0.615343
100,0.600864
110,0.593132
120,0.587352
130,0.576346
140,0.568697
150,0.557454
160,0.539100
170,0.527896
180,0.519006
190,0.509579
200,0.501819
210,0.473936
220,0.464359
230,0.457719
240,0.444917
250,0.435462
260,0.427618
270,0.414730
280,0.400369
290,0.389573
300,0.372890
310,0.362363
320,0.350610
330,0.341108
340,0.332704
350,0.320341
360,0.315579
370,0.309484
380,0.301938
390,0.292382
400,0.286573
410,0.282945
420,0.278364
430,0.276198
440,0.274176
450,0.273121
460,0.275447
470,0.272526
480,0.268329
490,0.263433
500,0.263877
510,0.259113
520,0.259546
530,0.255368
540,0.255824
550,0.253884
560,0.252357
570,0.251606
580,0.252963
590,0.254575
600,0.247901
610,0.241074
620,0.240468
630,0.238941
640,0.237640
650,0.234785
660,0.233066
670,0.231233
680,0.229946
690,0.232610
700,0.232466
710,0.232456
720,0.235048
730,0.235675
740,0.236755
750,0.236318
760,0.240922
770,0.238889
780,0.233204
790,0.231753
800,0.233824
810,0.230971
820,0.228828
830,0.229134
840,0.232534
850,0.230549
860,0.230151
870,0.230165
880,0.234042
890,0.233424
900,0.234470
910,0.236753
920,0.237286
930,0.234480
940,0.234293
950,0.233663
960,0.231500
970,0.233245
980,0.231141
990,0.232567
1000,0.234163
1010,0.234404
1020,0.232502
1030,0.236812
1040,0.235231
1050,0.233289
1060,0.232656
1070,0.234199
1080,0.234406
1090,0.236879
1100,0.238629
1110,0.238451
1120,0.236861
1130,0.234832
1140,0.228968
1150,0.227388
1160,0.226888
1170,0.227545
1180,0.226371
1190,0.226082
1200,0.225715
1210,0.225079
1220,0.224172
1230,0.223658
1240,0.222306
1250,0.222384
1260,0.223653
1270,0.224508
1280,0.224519
1290,0.223820
1300,0.224470
1310,0.222066
1320,0.220984
1330,0.221907
1340,0.223630
1350,0.222311
1360,0.222607
1370,0.222624
1380,0.223363
1390,0.221896
1400,0.221168
1410,0.223779
1420,0.222806
1430,0.224516
1440,0.223191
1450,0.222632
1460,0.222555
1470,0.223415
1480,0.226299
1490,0.225990
1500,0.228019
1510,0.228172
1520,0.228263
1530,0.225316
1540,0.223950
1550,0.221311
1560,0.222713
1570,0.224987
1580,0.222973
1590,0.224824
1600,0.223039
1610,0.225116
1620,0.226051
1630,0.223894
1640,0.225328
1650,0.226697
1660,0.226973
1670,0.225349
1680,0.224413
1690,0.222578
1700,0.223998
1710,0.223622
1720,0.221491
1730,0.221823
1740,0.222712
1750,0.219768
1760,0.221842
1770,0.221519
1780,0.224756
1790,0.223733
1800,0.220984
1810,0.221830
1820,0.219892
1830,0.217704
1840,0.218054
1850,0.216705
1860,0.217130
1870,0.217164
1880,0.220866
1890,0.217787
1900,0.217292
1910,0.214834
1920,0.215339
1930,0.214966
1940,0.215673
1950,0.216119
1960,0.217391
1970,0.217021
1980,0.218577
1990,0.219775
2000,0.218994
