step,loss
1,0.815582
10,0.710509
20,0.634739
30,0.588148
40,0.548782
50,0.513301
60,0.472749
70,0.438449
80,0.407852
90,0.374178
100,0.351699
110,0.325479
120,0.303135
130,0.287209
140,0.275748
150,0.269375
160,0.261216
170,0.254400
180,0.246713
190,0.242900
200,0.235566
210,0.226389
220,0.217946
230,0.205087
240,0.191298
250,0.178565
260,0.168119
270,0.162909
280,0.157803
290,0.153951
300,0.148759
310,0.138510
320,0.131916
330,0.125804
340,0.120069
350,0.116671
360,0.114964
370,0.114198
380,0.110230
390,0.110994
400,0.109178
410,0.107062
420,0.105929
430,0.104809
440,0.103251
450,0.100794
460,0.103237
470,0.100888
480,0.099100
490,0.100028
500,0.099284
510,0.097923
520,0.097783
530,0.098006
540,0.098823
550,0.098276
560,0.097615
570,0.097885
580,0.099515
590,0.098191
600,0.099063
610,0.098543
620,0.097910
630,0.098767
640,0.099696
650,0.098699
660,0.102204
670,0.099600
680,0.099285
690,0.100412
700,0.099604
710,0.098387
720,0.099378
730,0.099869
740,0.099427
750,0.099664
760,0.096780
770,0.093628
780,0.092001
790,0.091661
800,0.089644
810,0.092854
820,0.090554
830,0.089867
840,0.089689
850,0.089239
860,0.089488
870,0.090640
880,0.091354
890,0.090497
900,0.089376
910,0.089206
920,0.088122
930,0.088601
940,0.088689
950,0.087514
960,0.088032
970,0.087567
980,0.087784
990,0.086980
1000,0.087225
1010,0.087424
1020,0.087356
1030,0.088518
1040,0.087278
1050,0.087194
1060,0.091447
1070,0.090135
1080,0.089701
1090,0.088528
1100,0.088645
1110,0.092193
1120,0.090145
1130,0.090347
1140,0.090109
1150,0.090362
1160,0.089659
1170,0.090584
1180,0.091359
1190,0.089859
1200,0.089927
1210,0.090471
1220,0.088882
1230,0.091417
1240,0.090864
1250,0.092619
1260,0.093087
1270,0.090931
1280,0.088936
1290,0.090267
1300,0.090383
1310,0.090067
1320,0.089630
1330,0.088508
1340,0.088558
1350,0.090204
1360,0.090224
1370,0.090294
1380,0.088623
1390,0.088666
1400,0.089745
1410,0.091464
1420,0.090158
1430,0.090756
1440,0.090613
1450,0.090350
1460,0.089076
1470,0.089719
1480,0.090073
1490,0.090411
1500,0.089722
1510,0.089581
1520,0.090005
1530,0.089128
1540,0.088795
1550,0.090020
1560,0.089659
1570,0.089998
1580,0.090284
1590,0.091583
1600,0.092151
1610,0.097151
1620,0.096172
1630,0.094838
1640,0.093930
1650,0.092381
1660,0.092371
1670,0.092772
1680,0.093294
1690,0.093226
1700,0.093460
1710,0.093042
1720,0.094486
1730,0.093720
1740,0.093468
1750,0.092542
1760,0.093117
1770,0.094128
1780,0.092992
1790,0.094629
1800,0.094010
1810,0.094068
1820,0.096157
1830,0.094737
1840,0.095377
1850,0.095247
1860,0.094916
1870,0.094460
1880,0.095391
1890,0.096427
1900,0.094925
1910,0.095296
1920,0.095681
1930,0.095978
1940,0.096525
1950,0.095530
1960,0.097057
1970,0.096739
1980,0.097349
1990,0.098058
2000,0.097484
