step,loss
1,1.015425
10,0.919660
20,0.836878
30,0.762743
40,0.686817
50,0.606880
60,0.533062
70,0.476485
80,0.428186
90,0.392861
100,0.367353
110,0.346881
120,0.335138
130,0.325255
140,0.319795
150,0.315855
160,0.314319
170,0.308635
180,0.306881
190,0.304957
200,0.302711
210,0.296366
220,0.295587
230,0.292049
240,0.292081
250,0.291451
260,0.290856
270,0.288350
280,0.282301
290,0.278490
300,0.276472
310,0.272852
320,0.270291
330,0.268072
340,0.266556
350,0.267162
360,0.267116
370,0.267288
380,0.265499
390,0.262260
400,0.261533
410,0.254896
420,0.255010
430,0.253258
440,0.253163
450,0.252905
460,0.249390
470,0.243808
480,0.241403
490,0.240943
500,0.240063
510,0.239141
520,0.235673
530,0.227621
540,0.222060
550,0.221044
560,0.218862
570,0.216392
580,0.214213
590,0.212446
600,0.212041
610,0.212016
620,0.212099
630,0.212004
640,0.213570
650,0.210551
660,0.209904
670,0.209581
680,0.209231
690,0.208278
700,0.208086
710,0.207107
720,0.207223
730,0.206748
740,0.205966
750,0.206305
760,0.206902
770,0.205591
780,0.206488
790,0.203902
800,0.203812
810,0.203705
820,0.203422
830,0.202675
840,0.201113
850,0.200761
860,0.201717
870,0.200060
880,0.201295
890,0.202272
900,0.201512
910,0.201921
920,0.202717
930,0.203258
940,0.203236
950,0.203090
960,0.203295
970,0.202634
980,0.201875
990,0.202203
1000,0.199710
1010,0.199222
1020,0.199078
1030,0.198886
1040,0.198393
1050,0.198038
1060,0.198728
1070,0.198029
1080,0.198422
1090,0.197912
1100,0.197308
1110,0.197173
1120,0.197701
1130,0.196074
1140,0.195095
1150,0.195208
1160,0.195728
1170,0.195304
1180,0.194847
1190,0.194519
1200,0.193724
1210,0.194921
1220,0.194050
1230,0.193101
1240,0.193144
1250,0.192635
1260,0.191917
1270,0.191108
1280,0.191724
1290,0.191916
1300,0.191566
1310,0.191108
1320,0.190107
1330,0.190437
1340,0.191492
1350,0.192469
1360,0.191899
1370,0.190876
1380,0.190159
1390,0.189518
1400,0.189846
1410,0.186761
1420,0.184888
1430,0.182758
1440,0.182786
1450,0.182579
1460,0.183386
1470,0.182831
1480,0.183238
1490,0.182695
1500,0.183454
1510,0.183169
1520,0.182547
1530,0.182260
1540,0.182564
1550,0.181989
1560,0.181134
1570,0.180368
1580,0.179797
1590,0.179295
1600,0.179546
1610,0.179479
1620,0.180488
1630,0.179383
1640,0.179263
1650,0.179557
1660,0.180398
1670,0.179487
1680,0.180463
1690,0.179446
1700,0.179801
1710,0.179810
1720,0.180276
1730,0.178528
1740,0.176065
1750,0.175889
1760,0.175657
1770,0.175898
1780,0.175707
1790,0.176206
1800,0.176530
1810,0.175681
1820,0.176749
1830,0.176516
1840,0.176388
1850,0.176799
1860,0.176767
1870,0.177106
1880,0.177226
1890,0.176449
1900,0.175695
1910,0.175465
1920,0.175669
1930,0.177094
1940,0.175592
1950,0.176708
1960,0.175864
1970,0.176712
1980,0.176646
1990,0.175969
2000,0.176973
