step,loss
1,0.969468
10,0.842052
20,0.756908
30,0.710131
40,0.655662
50,0.603188
60,0.550228
70,0.507300
80,0.474661
90,0.447588
100,0.421831
110,0.397454
120,0.376085
130,0.363528
140,0.352944
150,0.340750
160,0.324318
170,0.300974
180,0.289978
190,0.283003
200,0.274699
210,0.266603
220,0.262375
230,0.254422
240,0.253672
250,0.256168
260,0.248669
270,0.249327
280,0.244823
290,0.240633
300,0.238897
310,0.236753
320,0.236571
330,0.232225
340,0.229189
350,0.225281
360,0.221671
370,0.220545
380,0.216177
390,0.217103
400,0.216739
410,0.215857
420,0.214822
430,0.213735
440,0.212468
450,0.213246
460,0.213335
470,0.211426
480,0.205613
490,0.206750
500,0.203411
510,0.205604
520,0.199331
530,0.195026
540,0.189449
550,0.185580
560,0.182942
570,0.183089
580,0.183481
590,0.181891
600,0.180893
610,0.180386
620,0.181186
630,0.182596
640,0.179641
650,0.177785
660,0.178189
670,0.176980
680,0.173632
690,0.174358
700,0.174738
710,0.174843
720,0.172451
730,0.172774
740,0.172460
750,0.170329
760,0.169161
770,0.170033
780,0.168865
790,0.168966
800,0.170429
810,0.169887
820,0.169763
830,0.168658
840,0.167193
850,0.166747
860,0.167492
870,0.167295
880,0.167681
890,0.169997
900,0.168252
910,0.167613
920,0.168153
930,0.167980
940,0.167802
950,0.167683
960,0.167888
970,0.168651
980,0.168603
990,0.168031
1000,0.166154
1010,0.167948
1020,0.166297
1030,0.165899
1040,0.163840
1050,0.165788
1060,0.166670
1070,0.163973
1080,0.164611
1090,0.164630
1100,0.163296
1110,0.166136
1120,0.164194
1130,0.164818
1140,0.162913
1150,0.162858
1160,0.162545
1170,0.161613
1180,0.162748
1190,0.164728
1200,0.164682
1210,0.162811
1220,0.162594
1230,0.163746
1240,0.161485
1250,0.162088
1260,0.164192
1270,0.163830
1280,0.164412
1290,0.161255
1300,0.161012
1310,0.161294
1320,0.162434
1330,0.163079
1340,0.163821
1350,0.164298
1360,0.165724
1370,0.162108
1380,0.163931
1390,0.164277
1400,0.161572
1410,0.163477
1420,0.162394
1430,0.163142
1440,0.160786
1450,0.161239
1460,0.162201
1470,0.160432
1480,0.161044
1490,0.163163
1500,0.160832
1510,0.161623
1520,0.160897
1530,0.158935
1540,0.162123
1550,0.163328
1560,0.161745
1570,0.159697
1580,0.160777
1590,0.157703
1600,0.159791
1610,0.160699
1620,0.160196
1630,0.158916
1640,0.155431
1650,0.156113
1660,0.156356
1670,0.154193
1680,0.156131
1690,0.154740
1700,0.154811
1710,0.153022
1720,0.152473
1730,0.151116
1740,0.153529
1750,0.154121
1760,0.153946
1770,0.153344
1780,0.152959
1790,0.152424
1800,0.152897
1810,0.152444
1820,0.153240
1830,0.152739
1840,0.154553
1850,0.153235
1860,0.154583
1870,0.153591
1880,0.152250
1890,0.153089
1900,0.154122
1910,0.153823
1920,0.152030
1930,0.154190
1940,0.151226
1950,0.154301
1960,0.153843
1970,0.153338
1980,0.153321
1990,0.152706
2000,0.152410
