step,loss
1,1.087080
10,0.971181
20,0.875826
30,0.808146
40,0.745489
50,0.676119
60,0.613267
70,0.556807
80,0.512022
90,0.476605
100,0.441644
110,0.413735
120,0.393116
130,0.376999
140,0.361740
150,0.345963
160,0.336114
170,0.331842
180,0.325635
190,0.321346
200,0.316014
210,0.312702
220,0.308944
230,0.303582
240,0.301850
250,0.295887
260,0.289690
270,0.284589
280,0.284473
290,0.280932
300,0.279404
310,0.278274
320,0.278434
330,0.277355
340,0.273842
350,0.273329
360,0.273794
370,0.270369
380,0.270131
390,0.268217
400,0.267247
410,0.265584
420,0.264220
430,0.261841
440,0.261595
450,0.262443
460,0.261579
470,0.258917
480,0.257521
490,0.253907
500,0.253042
510,0.251521
520,0.252417
530,0.254611
540,0.256698
550,0.260022
560,0.259740
570,0.259901
580,0.261448
590,0.262564
600,0.262931
610,0.265300
620,0.268345
630,0.266868
640,0.268415
650,0.270087
660,0.268692
670,0.268084
680,0.265917
690,0.266447
700,0.266715
710,0.266317
720,0.270032
730,0.273302
740,0.275907
750,0.278382
760,0.284687
770,0.281665
780,0.279689
790,0.279661
800,0.280181
810,0.282401
820,0.281969
830,0.279694
840,0.277476
850,0.280245
860,0.282807
870,0.282456
880,0.281391
890,0.280754
900,0.279940
910,0.280385
920,0.279232
930,0.278919
940,0.279535
950,0.280208
960,0.280720
970,0.281859
980,0.281319
990,0.280616
1000,0.280848
1010,0.281755
1020,0.281796
1030,0.280176
1040,0.281993
1050,0.280930
1060,0.283007
1070,0.283933
1080,0.284965
1090,0.286389
1100,0.286978
1110,0.286228
1120,0.287130
1130,0.287545
1140,0.287175
1150,0.285445
1160,0.284015
1170,0.284509
1180,0.284620
1190,0.283974
1200,0.283080
1210,0.282812
1220,0.284487
1230,0.285263
1240,0.285315
1250,0.284490
1260,0.286183
1270,0.286916
1280,0.289795
1290,0.287786
1300,0.287726
1310,0.286556
1320,0.286982
1330,0.284206
1340,0.278828
1350,0.275991
1360,0.275092
1370,0.273055
1380,0.273656
1390,0.274653
1400,0.273765
1410,0.272700
1420,0.271166
1430,0.268314
1440,0.268068
1450,0.266675
1460,0.264826
1470,0.261155
1480,0.258619
1490,0.258896
1500,0.258196
1510,0.256886
1520,0.257226
1530,0.256889
1540,0.257963
1550,0.259700
1560,0.259401
1570,0.262503
1580,0.262266
1590,0.262250
1600,0.263706
1610,0.264217
1620,0.264288
1630,0.262787
1640,0.262378
1650,0.260966
1660,0.261357
1670,0.262339
1680,0.261502
1690,0.257334
1700,0.256634
1710,0.255923
1720,0.256106
1730,0.255920
1740,0.256724
1750,0.253402
1760,0.249336
1770,0.246023
1780,0.246036
1790,0.247897
1800,0.248822
1810,0.246786
1820,0.245031
1830,0.245876
1840,0.245754
1850,0.246917
1860,0.247034
1870,0.247911
1880,0.245955
1890,0.245823
1900,0.246414
1910,0.247844
1920,0.247531
1930,0.246184
1940,0.245481
1950,0.245309
1960,0.244957
1970,0.246487
1980,0.244706
1990,0.244309
2000,0.243178
