step,loss
1,0.973698
10,0.873592
20,0.813623
30,0.797076
40,0.785017
50,0.776289
60,0.749589
70,0.739559
80,0.729439
90,0.719269
100,0.710930
110,0.698136
120,0.691630
130,0.679930
140,0.664939
150,0.648928
160,0.635667
170,0.625542
180,0.617954
190,0.611356
200,0.600702
210,0.590096
220,0.578129
230,0.566931
240,0.559479
250,0.551911
260,0.540320
270,0.518936
280,0.503387
290,0.491859
300,0.483587
310,0.472075
320,0.460522
330,0.448100
340,0.438708
350,0.427856
360,0.425397
370,0.421029
380,0.416033
390,0.410054
400,0.407936
410,0.405719
420,0.397228
430,0.398140
440,0.393023
450,0.388400
460,0.381190
470,0.377932
480,0.368640
490,0.361461
500,0.357027
510,0.352560
520,0.350304
530,0.350240
540,0.346689
550,0.350733
560,0.353177
570,0.352863
580,0.351435
590,0.349785
600,0.346869
610,0.344593
620,0.343881
630,0.343326
640,0.345999
650,0.344732
660,0.341433
670,0.340086
680,0.340122
690,0.341877
700,0.343518
710,0.344713
720,0.343084
730,0.343724
740,0.336985
750,0.335461
760,0.336462
770,0.337086
780,0.332584
790,0.330988
800,0.329742
810,0.332628
820,0.332614
830,0.336143
840,0.331472
850,0.328917
860,0.335023
870,0.329577
880,0.330880
890,0.328930
900,0.326519
910,0.329766
920,0.325518
930,0.328991
940,0.329611
950,0.328432
960,0.328157
970,0.332078
980,0.331049
990,0.334378
1000,0.330951
