step,loss
1,0.984640
10,0.878340
20,0.796138
30,0.762462
40,0.748672
50,0.733094
60,0.724461
70,0.717015
80,0.708317
90,0.696590
100,0.686487
110,0.675085
120,0.661254
130,0.649810
140,0.642895
150,0.635405
160,0.630704
170,0.627098
180,0.622973
190,0.621091
200,0.619397
210,0.615709
220,0.612356
230,0.608872
240,0.603162
250,0.599358
260,0.595207
270,0.595023
280,0.593382
290,0.591842
300,0.591434
310,0.590733
320,0.590187
330,0.589621
340,0.589457
350,0.587581
360,0.585074
370,0.581617
380,0.576602
390,0.573461
400,0.569462
410,0.563171
420,0.563026
430,0.559803
440,0.559243
450,0.557469
460,0.557175
470,0.558088
480,0.559259
490,0.559676
500,0.559571
510,0.561320
520,0.562209
530,0.560374
540,0.559275
550,0.559336
560,0.560382
570,0.559909
580,0.560192
590,0.560937
600,0.560488
610,0.560521
620,0.559175
630,0.557679
640,0.558189
650,0.557099
660,0.556967
670,0.556520
680,0.557378
690,0.556688
700,0.558711
710,0.557560
720,0.557953
730,0.559579
740,0.560764
750,0.559712
760,0.559908
770,0.560183
780,0.558807
790,0.558993
800,0.557121
810,0.558127
820,0.558368
830,0.558676
840,0.558004
850,0.558750
860,0.558153
870,0.558250
880,0.557942
890,0.558444
900,0.557582
910,0.557594
920,0.557183
930,0.557588
940,0.556583
950,0.555839
960,0.555773
970,0.556652
980,0.555541
990,0.555490
1000,0.556076
