step,loss
1,0.785565
10,0.709563
20,0.649126
30,0.606673
40,0.573757
50,0.540971
60,0.508428
70,0.482972
80,0.456548
90,0.431372
100,0.410376
110,0.401530
120,0.389779
130,0.378988
140,0.373558
150,0.366399
160,0.359749
170,0.355728
180,0.348184
190,0.344225
200,0.339702
210,0.329774
220,0.320499
230,0.312402
240,0.305783
250,0.297995
260,0.297171
270,0.291664
280,0.290428
290,0.287154
300,0.284531
310,0.283359
320,0.280929
330,0.278290
340,0.274277
350,0.270471
360,0.268535
370,0.264958
380,0.256795
390,0.255877
400,0.252917
410,0.243377
420,0.238456
430,0.233991
440,0.230573
450,0.221572
460,0.207573
470,0.188924
480,0.190911
490,0.186127
500,0.185112
510,0.184948
520,0.182579
530,0.183651
540,0.183924
550,0.185429
560,0.185883
570,0.184784
580,0.184445
590,0.184510
600,0.185946
610,0.187183
620,0.188786
630,0.190240
640,0.188417
650,0.189287
660,0.188779
670,0.188964
680,0.189879
690,0.186285
700,0.185390
710,0.186559
720,0.188485
730,0.183543
740,0.183152
750,0.182138
760,0.179647
770,0.177618
780,0.179586
790,0.178752
800,0.176428
810,0.177160
820,0.175720
830,0.174533
840,0.174114
850,0.177183
860,0.175908
870,0.175618
880,0.174943
890,0.173787
900,0.173776
910,0.175058
920,0.173573
930,0.174207
940,0.171691
950,0.170990
960,0.172348
970,0.170530
980,0.169588
990,0.169666
1000,0.169687
