step,loss
1,1.038845
10,1.003765
20,0.960753
30,0.919094
40,0.884221
50,0.855307
60,0.826308
70,0.796019
80,0.756293
90,0.713719
100,0.677137
110,0.638211
120,0.605958
130,0.577032
140,0.550039
150,0.522635
160,0.489851
170,0.459778
180,0.433457
190,0.411409
200,0.389193
210,0.368655
220,0.356298
230,0.347038
240,0.338829
250,0.328992
260,0.319098
270,0.314128
280,0.308909
290,0.305651
300,0.299418
310,0.294207
320,0.290196
330,0.290601
340,0.287124
350,0.285234
360,0.291416
370,0.291447
380,0.290633
390,0.291432
400,0.291395
410,0.294022
420,0.291971
430,0.290356
440,0.286642
450,0.283564
460,0.279020
470,0.274296
480,0.271119
490,0.265041
500,0.259841
510,0.257291
520,0.253576
530,0.250691
540,0.249819
550,0.250709
560,0.247247
570,0.245679
580,0.244491
590,0.240188
600,0.237714
610,0.237848
620,0.236794
630,0.237239
640,0.239227
650,0.239283
660,0.235025
670,0.232710
680,0.236095
690,0.234259
700,0.232627
710,0.228307
720,0.225777
730,0.222144
740,0.220313
750,0.215336
760,0.210431
770,0.208387
780,0.205582
790,0.205683
800,0.203475
810,0.198202
820,0.189882
830,0.185273
840,0.181207
850,0.176553
860,0.176256
870,0.175724
880,0.174371
890,0.171649
900,0.169222
910,0.167472
920,0.168252
930,0.168442
940,0.168371
950,0.169415
960,0.169359
970,0.163582
980,0.153949
990,0.148851
1000,0.146724
