step,loss
1,1.094216
10,0.975677
20,0.890790
30,0.830767
40,0.763619
50,0.697012
60,0.628249
70,0.576868
80,0.543127
90,0.512824
100,0.491673
110,0.462762
120,0.439002
130,0.419540
140,0.402917
150,0.387210
160,0.374448
170,0.364660
180,0.358188
190,0.354118
200,0.350087
210,0.334895
220,0.319655
230,0.309941
240,0.299831
250,0.294699
260,0.287191
270,0.282495
280,0.278227
290,0.275572
300,0.277918
310,0.276301
320,0.275091
330,0.275755
340,0.277383
350,0.281148
360,0.291170
370,0.291655
380,0.291967
390,0.290005
400,0.288235
410,0.286319
420,0.285612
430,0.285535
440,0.283759
450,0.282113
460,0.278900
470,0.277512
480,0.274719
490,0.274387
500,0.269962
510,0.262009
520,0.255417
530,0.254229
540,0.251581
550,0.247405
560,0.249542
570,0.247735
580,0.246270
590,0.244502
600,0.241013
610,0.233718
620,0.236655
630,0.234892
640,0.233048
650,0.231811
660,0.236530
670,0.235607
680,0.235003
690,0.233567
700,0.234973
710,0.232866
720,0.231684
730,0.229099
740,0.229391
750,0.227629
760,0.226184
770,0.222353
780,0.220682
790,0.222492
800,0.220109
810,0.217073
820,0.214699
830,0.213868
840,0.213548
850,0.212676
860,0.213792
870,0.215271
880,0.214138
890,0.212312
900,0.210586
910,0.208729
920,0.208018
930,0.208174
940,0.207157
950,0.206930
960,0.206316
970,0.204124
980,0.203175
990,0.202649
1000,0.202523
1010,0.201936
1020,0.203061
1030,0.200165
1040,0.199758
1050,0.199581
1060,0.201179
1070,0.201168
1080,0.200176
1090,0.200639
1100,0.200579
1110,0.204678
1120,0.202155
1130,0.201035
1140,0.201700
1150,0.202502
1160,0.203295
1170,0.202096
1180,0.202804
1190,0.203856
1200,0.204710
1210,0.204523
1220,0.205308
1230,0.203656
1240,0.203593
1250,0.203926
1260,0.204218
1270,0.204450
1280,0.200559
1290,0.200531
1300,0.201619
1310,0.200541
1320,0.200874
1330,0.202418
1340,0.200756
1350,0.200401
1360,0.200628
1370,0.200538
1380,0.200287
1390,0.200683
1400,0.200720
1410,0.200128
1420,0.199137
1430,0.196622
1440,0.195100
1450,0.192435
1460,0.190809
1470,0.192032
1480,0.188568
1490,0.186806
1500,0.186408
1510,0.185600
1520,0.184407
1530,0.184504
1540,0.184277
1550,0.186587
1560,0.184571
1570,0.184006
1580,0.184746
1590,0.184991
1600,0.184224
1610,0.185224
1620,0.184663
1630,0.184082
1640,0.184965
1650,0.184385
1660,0.182527
1670,0.184340
1680,0.183782
1690,0.182724
1700,0.183448
1710,0.183276
1720,0.182335
1730,0.181495
1740,0.181716
1750,0.183504
1760,0.181940
1770,0.182909
1780,0.182789
1790,0.183328
1800,0.183097
1810,0.182194
1820,0.180774
1830,0.180058
1840,0.179184
1850,0.179003
1860,0.181131
1870,0.178860
1880,0.176878
1890,0.175085
1900,0.174122
1910,0.173959
1920,0.174873
1930,0.176111
1940,0.176623
1950,0.176322
1960,0.176270
1970,0.174978
1980,0.175227
1990,0.177674
2000,0.175199
