step,loss
1,1.118076
10,1.031163
20,0.963758
30,0.916214
40,0.867075
50,0.821532
60,0.772867
70,0.723994
80,0.668693
90,0.628497
100,0.598368
110,0.579407
120,0.562626
130,0.547821
140,0.531465
150,0.515004
160,0.497158
170,0.481685
180,0.463761
190,0.448173
200,0.436796
210,0.427526
220,0.416817
230,0.413638
240,0.407821
250,0.404292
260,0.400887
270,0.396587
280,0.395048
290,0.392739
300,0.390908
310,0.389592
320,0.385146
330,0.381990
340,0.371447
350,0.364923
360,0.362423
370,0.360726
380,0.359247
390,0.357422
400,0.355077
410,0.354540
420,0.354814
430,0.352835
440,0.352550
450,0.350998
460,0.350429
470,0.349820
480,0.349619
490,0.347420
500,0.347317
510,0.344820
520,0.345107
530,0.346583
540,0.344241
550,0.344518
560,0.343260
570,0.343733
580,0.341304
590,0.343297
600,0.339672
610,0.340091
620,0.342153
630,0.340691
640,0.342897
650,0.340191
660,0.339721
670,0.338698
680,0.338441
690,0.337445
700,0.339042
710,0.338070
720,0.336503
730,0.335436
740,0.335416
750,0.336136
760,0.334581
770,0.335562
780,0.336212
790,0.335396
800,0.335563
810,0.337836
820,0.338888
830,0.343061
840,0.339605
850,0.339116
860,0.338533
870,0.340082
880,0.339606
890,0.337052
900,0.338018
910,0.338245
920,0.336926
930,0.336756
940,0.337017
950,0.333918
960,0.334572
970,0.337382
980,0.335431
990,0.334901
1000,0.336024
