step,loss
1,0.755679
10,0.652062
20,0.581456
30,0.532626
40,0.487956
50,0.443043
60,0.405812
70,0.380356
80,0.352100
90,0.325755
100,0.305287
110,0.289513
120,0.276402
130,0.268127
140,0.260001
150,0.252543
160,0.244821
170,0.236980
180,0.231024
190,0.223656
200,0.221228
210,0.214630
220,0.212432
230,0.213215
240,0.211965
250,0.208883
260,0.205490
270,0.206154
280,0.204523
290,0.202800
300,0.199317
310,0.197794
320,0.197899
330,0.192896
340,0.193178
350,0.190564
360,0.189558
370,0.184887
380,0.182011
390,0.180211
400,0.177428
410,0.174947
420,0.174671
430,0.172950
440,0.173850
450,0.173972
460,0.171512
470,0.168342
480,0.167025
490,0.163571
500,0.159081
510,0.155273
520,0.152044
530,0.151976
540,0.148797
550,0.147627
560,0.150399
570,0.153536
580,0.152466
590,0.149882
600,0.147479
610,0.149516
620,0.153218
630,0.151693
640,0.149826
650,0.150094
660,0.151612
670,0.155328
680,0.152657
690,0.152890
700,0.153938
710,0.156720
720,0.160780
730,0.157054
740,0.161299
750,0.161820
760,0.160297
770,0.158299
780,0.155843
790,0.151578
800,0.149029
810,0.144729
820,0.147228
830,0.147100
840,0.148097
850,0.147606
860,0.150223
870,0.151031
880,0.149478
890,0.145416
900,0.145633
910,0.147514
920,0.149331
930,0.149350
940,0.147247
950,0.147759
960,0.148887
970,0.152554
980,0.148562
990,0.149566
1000,0.149349
