step,loss
1,0.881262
10,0.703952
20,0.596156
30,0.542093
40,0.502362
50,0.469329
60,0.431726
70,0.410379
80,0.389349
90,0.366688
100,0.343432
110,0.322532
120,0.310903
130,0.300676
140,0.292890
150,0.280291
160,0.256518
170,0.249339
180,0.243866
190,0.238845
200,0.229156
210,0.217596
220,0.215657
230,0.211034
240,0.208226
250,0.207004
260,0.210603
270,0.209240
280,0.203334
290,0.196076
300,0.190504
310,0.187759
320,0.182570
330,0.181007
340,0.180209
350,0.178358
360,0.182962
370,0.180892
380,0.177668
390,0.177246
400,0.179759
410,0.177081
420,0.173238
430,0.171853
440,0.165403
450,0.163500
460,0.161972
470,0.158017
480,0.158789
490,0.157214
500,0.156832
510,0.156893
520,0.154172
530,0.153673
540,0.154453
550,0.154396
560,0.151945
570,0.154707
580,0.152609
590,0.152777
600,0.152594
610,0.157004
620,0.155574
630,0.153373
640,0.150364
650,0.147187
660,0.149960
670,0.148512
680,0.147821
690,0.148039
700,0.146165
710,0.145254
720,0.141077
730,0.140692
740,0.142258
750,0.142054
760,0.144044
770,0.142326
780,0.140970
790,0.141995
800,0.137607
810,0.138747
820,0.135190
830,0.132719
840,0.133076
850,0.132613
860,0.136059
870,0.132574
880,0.131830
890,0.132912
900,0.131822
910,0.133738
920,0.132175
930,0.133118
940,0.130624
950,0.131488
960,0.131714
970,0.129644
980,0.130870
990,0.129387
1000,0.130219
