step,loss
1,0.734742
10,0.542951
20,0.411661
30,0.355164
40,0.313513
50,0.283314
60,0.248792
70,0.226860
80,0.205314
90,0.187651
100,0.173032
110,0.160957
120,0.159658
130,0.153251
140,0.150380
150,0.150637
160,0.151322
170,0.147581
180,0.141857
190,0.140122
200,0.139048
210,0.135401
220,0.134206
230,0.131257
240,0.124799
250,0.125594
260,0.123504
270,0.125843
280,0.128957
290,0.128736
300,0.126743
310,0.124945
320,0.118988
330,0.111864
340,0.102578
350,0.090943
360,0.075792
370,0.067442
380,0.062661
390,0.060594
400,0.059764
410,0.062016
420,0.059925
430,0.059764
440,0.060638
450,0.062102
460,0.064154
470,0.064805
480,0.066101
490,0.065925
500,0.065322
510,0.067305
520,0.070599
530,0.074307
540,0.075634
550,0.076838
560,0.072592
570,0.067950
580,0.066654
590,0.066124
600,0.067438
610,0.071852
620,0.067770
630,0.065348
640,0.064773
650,0.062752
660,0.066838
670,0.062611
680,0.061698
690,0.059742
700,0.058985
710,0.058740
720,0.060734
730,0.057933
740,0.057327
750,0.056324
760,0.052978
770,0.054024
780,0.052876
790,0.051700
800,0.050384
810,0.051733
820,0.051960
830,0.053258
840,0.057459
850,0.060074
860,0.063333
870,0.061422
880,0.061867
890,0.060295
900,0.060038
910,0.059956
920,0.058227
930,0.059342
940,0.060102
950,0.060242
960,0.060335
970,0.058293
980,0.057885
990,0.058803
1000,0.057377
