step,loss
1,0.620912
10,0.462555
20,0.355628
30,0.302960
40,0.262534
50,0.230199
60,0.207608
70,0.188375
80,0.175752
90,0.167990
100,0.160042
110,0.149830
120,0.138858
130,0.126461
140,0.116085
150,0.108659
160,0.100285
170,0.095898
180,0.094268
190,0.091696
200,0.092232
210,0.092401
220,0.091189
230,0.089019
240,0.089683
250,0.089949
260,0.087380
270,0.088858
280,0.088955
290,0.088652
300,0.087465
310,0.089561
320,0.090115
330,0.090976
340,0.088587
350,0.086336
360,0.085866
370,0.085412
380,0.085281
390,0.088268
400,0.086351
410,0.085976
420,0.082850
430,0.080805
440,0.081016
450,0.079784
460,0.079783
470,0.078383
480,0.078194
490,0.079194
500,0.078655
510,0.079816
520,0.078813
530,0.075167
540,0.072211
550,0.072348
560,0.070227
570,0.069195
580,0.071532
590,0.071274
600,0.071763
610,0.072435
620,0.072934
630,0.071804
640,0.071869
650,0.072288
660,0.072912
670,0.071627
680,0.070417
690,0.072244
700,0.072168
710,0.070730
720,0.071339
730,0.069830
740,0.069262
750,0.070353
760,0.070537
770,0.068344
780,0.068264
790,0.065866
800,0.065681
810,0.067703
820,0.065251
830,0.063419
840,0.062084
850,0.062260
860,0.062576
870,0.063117
880,0.064618
890,0.064813
900,0.064315
910,0.064152
920,0.063675
930,0.063921
940,0.062412
950,0.062687
960,0.062954
970,0.062388
980,0.063004
990,0.061858
1000,0.064844
