job	pair	group	arm	seed	overlap_mode	overlap_repair	stop_reason	final_step	final_loss	final_mean_iou	final_view1_iou	final_view2_iou	final_patches	final_overlap	best_mean_iou	best_mean_iou_step	best_loss	best_loss_step	srd_total_adds	srd_total_deletes	total_seconds	iou_0p50_steps	iou_0p50_seconds	iou_0p60_steps	iou_0p60_seconds	iou_0p70_steps	iou_0p70_seconds	iou_0p75_steps	iou_0p75_seconds	iou_0p80_steps	iou_0p80_seconds	iou_0p85_steps	iou_0p85_seconds	iou_0p90_steps	iou_0p90_seconds	rel_90pct_steps	rel_90pct_seconds	rel_95pct_steps	rel_95pct_seconds	rel_99pct_steps	rel_99pct_seconds
final_acm_scf_basic_seed0	acm_scf	basic	basic	0	planar	True	converged	1775	0.654457	0.283884	0.211052	0.356717	5	0.00000000	0.287172	1500	0.650519	1500	-	-	458.983	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	550	147.511	1050	275.131	1400	364.003
final_cat_face_bass_basic_seed0	cat_face_bass	basic	basic	0	planar	True	converged	1500	0.314132	0.730100	0.663021	0.797179	5	0.00236205	0.747748	875	0.266635	550	-	-	379.624	150	41.346	225	61.726	350	94.946	-1	-1	-1	-1	-1	-1	-1	-1	300	81.709	350	94.946	475	127.994
final_crane_crab_basic_seed0	crane_crab	basic	basic	0	planar	True	converged	1650	0.281550	0.561459	0.548978	0.573939	5	0.00027405	0.561459	1650	0.281333	1350	-	-	418.732	625	162.342	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	700	181.916	850	221.573	1100	283.903
final_dance_argument_basic_seed0	dance_argument	basic	basic	0	planar	True	converged	1500	0.460639	0.402041	0.131025	0.673056	5	0.00033626	0.408064	1200	0.437153	1175	-	-	387.518	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	375	101.541	600	159.661	1150	298.699
final_dancer_guitar_basic_seed0	dancer_guitar	basic	basic	0	planar	True	converged	3700	0.137036	0.729866	0.671838	0.787895	5	0.00003449	0.739187	3275	0.134142	3400	-	-	1004.432	425	114.410	1825	493.542	2950	802.986	-1	-1	-1	-1	-1	-1	-1	-1	2425	660.357	3025	822.016	3225	875.698
final_horse_circle_basic_seed0	horse_circle	basic	basic	0	planar	True	converged	2775	0.181426	0.844956	0.701858	0.988054	5	0.00180365	0.845325	2475	0.180803	2475	-	-	773.975	150	44.441	200	59.416	275	81.837	300	89.332	350	104.251	-1	-1	-1	-1	300	89.332	350	104.251	500	149.231
final_robot_man_basic_seed0	robot_man	basic	basic	0	planar	True	converged	1675	0.160705	0.736137	0.734364	0.737909	5	0.00046406	0.739430	1550	0.159115	1375	-	-	601.201	250	87.403	450	158.356	950	339.986	-1	-1	-1	-1	-1	-1	-1	-1	875	312.047	950	339.986	1175	421.591
final_siggraph_sigchi_basic_seed0	siggraph_sigchi	basic	basic	0	planar	True	converged	2475	0.401500	0.272772	0.337099	0.208445	5	0.00044807	0.273323	2425	0.397071	2175	-	-	621.732	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1825	458.401	1975	496.683	2250	566.543
final_sun_moon_basic_seed0	sun_moon	basic	basic	0	planar	True	converged	1500	0.381671	0.471904	0.563137	0.380671	5	0.00000000	0.474398	750	0.379630	775	-	-	399.380	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	250	66.417	350	92.036	525	138.759
final_teapot_droplets_basic_seed0	teapot_droplets	basic	basic	0	planar	True	converged	2825	0.333906	0.425036	0.454930	0.395142	5	0.00000000	0.425302	2775	0.331087	2250	-	-	707.727	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2025	510.238	2075	523.210	2525	635.827
final_water_fire_basic_seed0	water_fire	basic	basic	0	planar	True	converged	1500	0.240935	0.682907	0.656376	0.709439	5	0.00015847	0.687144	1375	0.202058	475	-	-	404.081	175	46.241	300	79.057	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	400	105.899	475	126.591	925	249.566
