job_id	job_name	pair	setting	output_dir
4069970	acm_scf_full	acm_scf	full	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/acm_scf_full
4069971	acm_scf_ablation	acm_scf	ablation	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/acm_scf_ablation
4069972	cat_face_bass_full	cat_face_bass	full	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/cat_face_bass_full
4069973	cat_face_bass_ablation	cat_face_bass	ablation	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/cat_face_bass_ablation
4069974	horse_circle_full	horse_circle	full	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/horse_circle_full
4069975	horse_circle_ablation	horse_circle	ablation	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/horse_circle_ablation
4069976	sun_moon_full	sun_moon	full	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/sun_moon_full
4069977	sun_moon_ablation	sun_moon	ablation	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/sun_moon_ablation
4069978	water_fire_full	water_fire	full	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/water_fire_full
4069979	water_fire_ablation	water_fire	ablation	/oscar/home/cjmok/automated-perspective-sculptor/results/srd_ablation/water_fire_ablation
