job_id	job_name	pair	arm	seed	output_dir
4226407	th_sun_moon_constrained_s0	sun_moon	constrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_sun_moon_constrained_s0
4226408	th_sun_moon_constrained_s1	sun_moon	constrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_sun_moon_constrained_s1
4226409	th_sun_moon_constrained_s2	sun_moon	constrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_sun_moon_constrained_s2
4226410	th_sun_moon_unconstrained_s0	sun_moon	unconstrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_sun_moon_unconstrained_s0
4226411	th_sun_moon_unconstrained_s1	sun_moon	unconstrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_sun_moon_unconstrained_s1
4226412	th_sun_moon_unconstrained_s2	sun_moon	unconstrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_sun_moon_unconstrained_s2
4226413	th_cat_face_bass_constrained_s0	cat_face_bass	constrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_cat_face_bass_constrained_s0
4226414	th_cat_face_bass_constrained_s1	cat_face_bass	constrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_cat_face_bass_constrained_s1
4226415	th_cat_face_bass_constrained_s2	cat_face_bass	constrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_cat_face_bass_constrained_s2
4226416	th_cat_face_bass_unconstrained_s0	cat_face_bass	unconstrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_cat_face_bass_unconstrained_s0
4226417	th_cat_face_bass_unconstrained_s1	cat_face_bass	unconstrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_cat_face_bass_unconstrained_s1
4226418	th_cat_face_bass_unconstrained_s2	cat_face_bass	unconstrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_cat_face_bass_unconstrained_s2
4226419	th_horse_circle_constrained_s0	horse_circle	constrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_horse_circle_constrained_s0
4226420	th_horse_circle_constrained_s1	horse_circle	constrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_horse_circle_constrained_s1
4226421	th_horse_circle_constrained_s2	horse_circle	constrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_horse_circle_constrained_s2
4226422	th_horse_circle_unconstrained_s0	horse_circle	unconstrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_horse_circle_unconstrained_s0
4226423	th_horse_circle_unconstrained_s1	horse_circle	unconstrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_horse_circle_unconstrained_s1
4226424	th_horse_circle_unconstrained_s2	horse_circle	unconstrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_horse_circle_unconstrained_s2
4226425	th_acm_scf_constrained_s0	acm_scf	constrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_acm_scf_constrained_s0
4226426	th_acm_scf_constrained_s1	acm_scf	constrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_acm_scf_constrained_s1
4226427	th_acm_scf_constrained_s2	acm_scf	constrained	2	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_acm_scf_constrained_s2
4226428	th_acm_scf_unconstrained_s0	acm_scf	unconstrained	0	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_acm_scf_unconstrained_s0
4226429	th_acm_scf_unconstrained_s1	acm_scf	unconstrained	1	/oscar/home/cjmok/aps-hinge2/results/thetasweep/th_20260723/th_acm_scf_unconstrained_s1
