step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,2.146,1.703181,0.162750,0.157770,0.167730,20,0.00000000,0,0.222202,0.063179,0.381224,0.552198,0.726400,0.377997,0.199706,0.167738,0.231673,0.023148,0.053223,0.827178,0.759760,0.000000,0,0,0,0,0
25,42.186,1.407905,0.258590,0.211433,0.305747,20,0.00000000,0,0.120743,0.034139,0.207347,0.752640,0.864952,0.640329,0.293897,0.218651,0.369143,0.012609,0.028680,0.777023,0.622156,0.000000,0,0,0,0,0
50,306.777,1.214185,0.353110,0.290994,0.415226,23,0.00008111,1,0.111987,0.033769,0.190204,0.810581,0.899072,0.722090,0.397512,0.300820,0.494204,0.012457,0.026265,0.695037,0.499107,0.000000,3,0,0,0,0
75,353.854,1.082911,0.420486,0.353359,0.487612,23,0.00004363,0,0.119329,0.039311,0.199347,0.824546,0.903308,0.745784,0.476033,0.367250,0.584816,0.014125,0.027370,0.627989,0.409230,0.000000,3,0,0,0,0
100,656.050,0.966425,0.478111,0.406794,0.549428,26,0.00004831,0,0.126816,0.039755,0.213878,0.835634,0.914085,0.757183,0.544952,0.422966,0.666939,0.014284,0.029355,0.572226,0.326984,0.000000,6,0,0,0,0
125,709.009,0.890235,0.514991,0.446525,0.583456,26,0.00001865,1,0.128757,0.037760,0.219755,0.844360,0.924653,0.764067,0.587530,0.463386,0.711673,0.013411,0.030076,0.532392,0.282797,0.000000,6,0,0,0,0
150,1039.861,0.810525,0.553679,0.476279,0.631080,28,0.00000500,1,0.128821,0.035764,0.221878,0.854478,0.932402,0.776554,0.632207,0.493313,0.771102,0.012827,0.030648,0.502709,0.223970,0.000000,9,0,1,0,0
175,1097.675,0.759246,0.579072,0.500967,0.657177,28,0.00021995,3,0.132303,0.031626,0.232980,0.859508,0.942334,0.776682,0.663548,0.516811,0.810286,0.011646,0.032422,0.479254,0.187908,0.000000,9,0,1,0,0
200,1464.094,0.726362,0.593386,0.518792,0.667980,30,0.00037181,1,0.136662,0.030222,0.243102,0.860008,0.946480,0.773536,0.682419,0.534471,0.830367,0.010979,0.033542,0.461614,0.167081,0.000000,12,0,2,0,0
225,1526.782,0.698157,0.607463,0.542250,0.672675,30,0.00049268,1,0.139610,0.029262,0.249959,0.860513,0.950182,0.770843,0.699467,0.558117,0.840816,0.010375,0.034732,0.438477,0.156442,0.000000,12,0,2,0,0
250,1939.842,0.643186,0.635504,0.586477,0.684532,33,0.00024420,2,0.143249,0.028375,0.258122,0.862233,0.955067,0.769399,0.732171,0.603118,0.861224,0.010136,0.035857,0.393360,0.137130,0.000000,15,0,2,0,0
275,2010.275,0.592886,0.660279,0.616545,0.704013,33,0.00004567,1,0.128231,0.023646,0.232816,0.876188,0.963887,0.788490,0.749521,0.631124,0.867918,0.008304,0.032671,0.364929,0.129895,0.000000,15,0,2,0,0
300,2458.060,0.540635,0.687526,0.658211,0.716841,36,0.00005164,0,0.128791,0.025419,0.232163,0.877784,0.963705,0.791862,0.779104,0.674943,0.883265,0.008987,0.032233,0.320929,0.114857,0.000000,18,0,2,0,0
325,2533.394,0.505731,0.705930,0.685943,0.725916,36,0.00013374,1,0.124402,0.023498,0.225306,0.882752,0.967614,0.797891,0.795766,0.702062,0.889469,0.008409,0.031265,0.294277,0.108846,0.000000,18,0,2,0,0
350,3007.941,0.476518,0.721929,0.710185,0.733673,38,0.00000675,1,0.120964,0.024459,0.217469,0.885840,0.967476,0.804204,0.810390,0.727555,0.893224,0.008722,0.029997,0.269142,0.105445,0.000000,21,0,3,0,0
375,3086.971,0.423646,0.749149,0.756293,0.742005,38,0.00003252,1,0.122307,0.024533,0.220082,0.886875,0.969310,0.804439,0.840076,0.774847,0.905306,0.008679,0.030275,0.222037,0.092841,0.000000,21,0,3,0,0
400,3572.058,0.362402,0.781288,0.792430,0.770146,38,0.00005582,0,0.114248,0.020986,0.207510,0.896143,0.974717,0.817569,0.869509,0.809059,0.929959,0.007618,0.028706,0.188299,0.069033,0.000000,24,0,6,0,0
