step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.405,1.779089,0.130805,0.181638,0.079972,20,0.00101130,0,0.224705,0.334985,0.114425,0.428878,0.419908,0.437847,0.165803,0.242484,0.089123,0.046046,0.033930,0.749931,0.906145,0.000000,0,0,0,0,0
25,27.573,1.521150,0.205490,0.305034,0.105946,20,0.00000671,1,0.111810,0.151800,0.071820,0.655432,0.698293,0.612570,0.232447,0.351338,0.113555,0.020674,0.021264,0.641063,0.881346,0.000000,0,0,0,0,0
50,189.554,1.364443,0.280114,0.395839,0.164388,23,0.00061940,0,0.094010,0.119590,0.068429,0.753563,0.787496,0.719629,0.309407,0.443178,0.175637,0.016074,0.020183,0.550879,0.819659,0.000000,1,2,0,0,0
75,219.250,1.239174,0.339620,0.464884,0.214356,23,0.00068137,2,0.092062,0.124215,0.059908,0.799653,0.807967,0.791339,0.374914,0.522630,0.227198,0.016665,0.017681,0.470933,0.768012,0.000000,1,2,0,0,0
100,380.218,1.083347,0.413690,0.556751,0.270628,22,0.00104803,2,0.085593,0.120581,0.050604,0.843470,0.838030,0.848910,0.454104,0.623885,0.284323,0.016209,0.014290,0.369579,0.711330,0.000000,4,2,4,0,0
125,408.661,0.972202,0.467024,0.610083,0.323965,22,0.00148176,1,0.086553,0.133631,0.039475,0.866574,0.838070,0.895077,0.514181,0.691609,0.336753,0.017737,0.011423,0.303575,0.658859,0.000000,4,2,4,0,0
150,594.673,0.888673,0.510922,0.652963,0.368882,25,0.00102086,1,0.085892,0.129006,0.042779,0.875493,0.851068,0.899919,0.560930,0.737199,0.384662,0.017269,0.011986,0.258932,0.610668,0.000000,7,2,4,0,0
175,627.109,0.791930,0.560739,0.705320,0.416158,25,0.00093188,1,0.081767,0.123885,0.039649,0.890447,0.864841,0.916053,0.612679,0.792699,0.432658,0.016439,0.011539,0.203756,0.563531,0.000000,7,2,4,0,0
200,833.961,0.717256,0.600772,0.731221,0.470324,27,0.00087879,1,0.085193,0.125867,0.044518,0.892148,0.867386,0.916910,0.657259,0.823257,0.491262,0.016729,0.013162,0.172573,0.504131,0.000000,10,2,5,0,0
225,869.965,0.662515,0.633092,0.744092,0.522091,27,0.00076211,2,0.104520,0.146350,0.062690,0.876017,0.853554,0.898479,0.703906,0.852990,0.554821,0.019378,0.018305,0.143884,0.440920,0.000000,10,2,5,0,0
250,1097.595,0.590624,0.666801,0.748680,0.584921,29,0.00037107,3,0.103445,0.157417,0.049474,0.885841,0.846266,0.925416,0.740197,0.866535,0.613860,0.021124,0.014667,0.131024,0.381771,0.000000,13,2,6,0,0
275,1136.070,0.526117,0.701764,0.755917,0.647612,29,0.00023338,1,0.106328,0.158573,0.054082,0.886642,0.846694,0.926590,0.779210,0.875785,0.682636,0.021481,0.015987,0.121123,0.313394,0.000000,13,2,6,0,0
300,1377.025,0.475914,0.725686,0.759051,0.692320,31,0.00008771,2,0.116143,0.177073,0.055213,0.882163,0.834593,0.929733,0.812002,0.893459,0.730545,0.023825,0.016010,0.103450,0.265936,0.000000,15,3,7,0,0
325,1418.699,0.430409,0.750444,0.781348,0.719539,31,0.00007196,2,0.103163,0.156591,0.049735,0.895268,0.852313,0.938222,0.829513,0.903700,0.755326,0.021191,0.014400,0.094227,0.241583,0.000000,15,3,7,0,0
350,1669.129,0.396793,0.770303,0.807939,0.732668,31,0.00005781,4,0.092644,0.131814,0.053474,0.904611,0.874013,0.935209,0.843141,0.914437,0.771846,0.017812,0.015401,0.082606,0.225379,0.000000,18,3,10,0,0
