step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.352,1.634717,0.166783,0.175578,0.157987,20,0.00000232,0,0.070787,0.085379,0.056195,0.719334,0.690597,0.748071,0.178717,0.190569,0.166865,0.023500,0.024390,0.795272,0.829521,0.000000,0,0,0,0,0
25,24.923,1.362550,0.277973,0.299345,0.256601,20,0.00000000,0,0.041806,0.050781,0.032830,0.875388,0.860998,0.889778,0.289786,0.314546,0.265025,0.013827,0.014117,0.670725,0.731442,0.000000,0,0,0,0,0
50,184.943,1.068428,0.435587,0.470609,0.400564,23,0.00037837,0,0.041680,0.050595,0.032764,0.916890,0.907167,0.926612,0.454054,0.494420,0.413688,0.013656,0.014145,0.493180,0.582464,0.000000,3,0,0,0,0
75,213.231,0.837445,0.561463,0.587647,0.535280,23,0.00043762,1,0.046919,0.060082,0.033757,0.927270,0.912037,0.942503,0.588152,0.622954,0.553349,0.015994,0.014443,0.365555,0.442850,0.000000,3,0,0,0,0
100,393.840,0.700501,0.631471,0.638627,0.624315,26,0.00024452,0,0.045505,0.064732,0.026277,0.936840,0.913076,0.960603,0.660343,0.679967,0.640720,0.017473,0.011255,0.308371,0.354860,0.000000,5,1,0,0,0
125,425.990,0.608487,0.681192,0.677032,0.685353,26,0.00004617,1,0.046344,0.067801,0.024887,0.940018,0.914255,0.965781,0.712672,0.722935,0.702409,0.018183,0.010726,0.266127,0.294297,0.000000,5,1,0,0,0
150,628.668,0.540423,0.717150,0.700892,0.733407,28,0.00000055,1,0.047281,0.073382,0.021181,0.941813,0.911129,0.972497,0.750633,0.752325,0.748941,0.019883,0.009003,0.237104,0.247822,0.000000,8,1,1,0,0
175,663.432,0.462141,0.762630,0.737867,0.787392,28,0.00000039,1,0.052388,0.078962,0.025814,0.939399,0.909767,0.969030,0.801924,0.796131,0.807718,0.021501,0.011030,0.193814,0.189548,0.000000,8,1,1,0,0
200,878.356,0.408368,0.794281,0.769349,0.819213,30,0.00001987,1,0.058637,0.089937,0.027337,0.935838,0.903135,0.968541,0.840074,0.838542,0.841607,0.024712,0.011707,0.152115,0.155934,0.000000,11,1,2,0,0
225,914.888,0.385468,0.805965,0.783890,0.828040,30,0.00004555,2,0.058839,0.092262,0.025417,0.936831,0.902726,0.970936,0.852650,0.856213,0.849087,0.025415,0.011141,0.134075,0.147965,0.000000,11,1,2,0,0
