step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.383,1.587924,0.183225,0.191045,0.175404,20,0.00000000,0,0.065069,0.082217,0.047922,0.754342,0.715481,0.793202,0.195281,0.206752,0.183810,0.022388,0.020835,0.778617,0.812853,0.000000,0,0,0,0,0
25,27.271,1.260993,0.329575,0.353315,0.305835,20,0.00000833,0,0.041430,0.055060,0.027800,0.895025,0.871304,0.918746,0.343552,0.372768,0.314337,0.014915,0.011837,0.612454,0.681637,0.000000,0,0,0,0,0
50,201.786,0.919000,0.513134,0.550031,0.476236,23,0.00007483,1,0.040218,0.051246,0.029190,0.931190,0.918587,0.943793,0.534178,0.578218,0.490138,0.013771,0.012506,0.409471,0.506474,0.000000,3,0,0,0,0
75,233.285,0.676296,0.647167,0.672518,0.621817,23,0.00037043,3,0.043054,0.049107,0.037000,0.940330,0.934927,0.945733,0.675184,0.705543,0.644824,0.013256,0.015635,0.283949,0.351640,0.000000,3,0,0,0,0
100,435.015,0.512380,0.733244,0.741650,0.724838,26,0.00037330,2,0.041460,0.049758,0.033161,0.948762,0.939928,0.957596,0.763714,0.778553,0.748875,0.013037,0.014381,0.211495,0.247855,0.000000,6,0,0,0,0
125,470.150,0.403360,0.785832,0.768795,0.802868,26,0.00072198,2,0.030095,0.035435,0.024755,0.964086,0.957383,0.970790,0.809390,0.796038,0.822743,0.009483,0.010823,0.192341,0.174048,0.000000,6,0,0,0,0
150,686.513,0.341415,0.820058,0.794534,0.845582,28,0.00111052,3,0.030987,0.037946,0.024027,0.964506,0.956011,0.973001,0.845291,0.824684,0.865899,0.010196,0.010451,0.164411,0.131488,0.000000,9,0,1,0,0
175,724.271,0.280365,0.850605,0.819704,0.881505,28,0.00136263,2,0.028638,0.038411,0.018864,0.968125,0.956822,0.979428,0.874662,0.851190,0.898133,0.010526,0.007808,0.138435,0.098684,0.000000,9,0,1,0,0
200,961.545,0.214704,0.887126,0.846202,0.928050,30,0.00109821,3,0.029388,0.043155,0.015621,0.968544,0.953390,0.983697,0.912633,0.882719,0.942547,0.011825,0.006832,0.108585,0.054491,0.000000,12,0,2,0,0
225,1002.261,0.179559,0.903694,0.855753,0.951635,30,0.00102455,4,0.028022,0.041946,0.014098,0.970336,0.955071,0.985601,0.928350,0.891648,0.965052,0.010885,0.005877,0.099843,0.031820,0.000000,12,0,2,0,1
250,1254.049,0.155777,0.915899,0.865722,0.966076,28,0.00082318,1,0.025108,0.037574,0.012642,0.973545,0.959849,0.987242,0.938271,0.898251,0.978290,0.009707,0.005402,0.092788,0.019220,0.000000,12,0,4,0,1
275,1292.197,0.144455,0.922523,0.873897,0.971150,28,0.00046976,1,0.022167,0.032552,0.011782,0.976666,0.965181,0.988152,0.942468,0.902344,0.982592,0.009126,0.005159,0.088613,0.014386,0.000000,12,0,4,0,1
300,1528.068,0.141472,0.923310,0.869794,0.976825,27,0.00009815,3,0.027318,0.040737,0.013900,0.971548,0.956936,0.986160,0.947815,0.905227,0.990402,0.010659,0.004998,0.086340,0.008144,0.000000,12,0,5,0,1
325,1564.760,0.129449,0.930991,0.878997,0.982985,27,0.00010094,2,0.021444,0.035342,0.007546,0.977528,0.962617,0.992439,0.950233,0.910063,0.990402,0.010182,0.003649,0.081101,0.007328,0.000000,12,0,5,0,1
350,1797.633,0.122545,0.932664,0.880684,0.984644,27,0.00007641,3,0.023834,0.039062,0.008605,0.975235,0.959060,0.991410,0.954101,0.915086,0.993116,0.010010,0.003701,0.076132,0.005128,0.000000,12,0,5,0,1
375,1833.883,0.113603,0.937841,0.894666,0.981016,27,0.00003042,3,0.021650,0.032180,0.011120,0.977620,0.966326,0.988914,0.957690,0.923456,0.991925,0.009293,0.003685,0.068744,0.005545,0.000000,12,0,5,0,1
