step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.403,1.591758,0.223209,0.192984,0.253433,20,0.00000000,0,0.178953,0.179559,0.178346,0.592563,0.559034,0.626091,0.263134,0.227636,0.298632,0.040695,0.035942,0.765997,0.696076,0.000000,0,0,0,0,0
25,26.721,1.160031,0.396626,0.380058,0.413193,20,0.00000000,0,0.099099,0.110631,0.087567,0.814625,0.792334,0.836916,0.435740,0.422105,0.449375,0.024765,0.017518,0.572692,0.547101,0.000000,0,0,0,0,0
50,192.420,0.916546,0.519198,0.526554,0.511842,23,0.00002534,0,0.097984,0.120895,0.075074,0.854969,0.829991,0.879947,0.570240,0.590212,0.550268,0.026959,0.014820,0.405036,0.446214,0.000000,3,0,0,0,0
75,222.164,0.772541,0.589637,0.605118,0.574157,23,0.00012608,2,0.089973,0.114628,0.065318,0.879126,0.854737,0.903515,0.643071,0.674481,0.611660,0.025041,0.012899,0.321562,0.384958,0.000000,3,0,0,0,0
100,417.497,0.660030,0.648570,0.627432,0.669707,26,0.00013336,4,0.089082,0.121651,0.056514,0.889327,0.852618,0.926036,0.705657,0.703760,0.707555,0.026717,0.011105,0.292555,0.289419,0.000000,6,0,0,0,0
125,451.714,0.578935,0.692857,0.645385,0.740329,26,0.00015498,3,0.093805,0.138829,0.048780,0.891005,0.841123,0.940888,0.755713,0.734983,0.776443,0.030602,0.009514,0.261982,0.220694,0.000000,6,0,0,0,0
150,673.283,0.486612,0.741350,0.677030,0.805669,29,0.00018464,3,0.095904,0.146716,0.045092,0.895113,0.841058,0.949168,0.809180,0.776361,0.841999,0.032422,0.008769,0.220512,0.155261,0.000000,9,0,0,0,0
175,711.561,0.406355,0.781426,0.717277,0.845576,29,0.00077955,2,0.087353,0.129970,0.044735,0.906802,0.861804,0.951801,0.846952,0.810501,0.883403,0.028767,0.008717,0.186833,0.114129,0.000000,9,0,0,0,0
200,957.504,0.357666,0.805884,0.751321,0.860447,32,0.00068211,2,0.084581,0.124784,0.044378,0.912139,0.871338,0.952940,0.871853,0.845073,0.898632,0.027418,0.008643,0.153221,0.099409,0.000000,12,0,0,0,0
225,999.792,0.307818,0.830631,0.783046,0.878215,32,0.00098535,4,0.080898,0.116465,0.045330,0.917694,0.882443,0.952946,0.896134,0.874244,0.918025,0.025852,0.008590,0.123157,0.080329,0.000000,12,0,0,0,0
250,1266.924,0.269902,0.850374,0.816759,0.883989,35,0.00017951,6,0.088886,0.125540,0.052231,0.913340,0.879847,0.946833,0.924728,0.919296,0.930161,0.028158,0.010088,0.078612,0.068151,0.000000,15,0,0,0,0
275,1312.606,0.207087,0.882308,0.857614,0.907003,35,0.00075544,3,0.078016,0.114628,0.041404,0.925466,0.892926,0.958007,0.950239,0.955920,0.944557,0.025391,0.008046,0.042261,0.053499,0.000000,15,0,0,0,0
300,1599.576,0.180762,0.896718,0.869392,0.924045,34,0.00098454,3,0.071636,0.112576,0.030696,0.932262,0.895748,0.968776,0.959837,0.967264,0.952409,0.024912,0.005809,0.031318,0.045881,0.000000,15,0,1,0,0
325,1643.957,0.164057,0.906376,0.878948,0.933805,34,0.00127358,2,0.065599,0.104905,0.026294,0.937903,0.902510,0.973296,0.964756,0.971154,0.958358,0.023366,0.005110,0.027529,0.039862,0.000000,15,0,1,0,1
350,1923.760,0.152844,0.912955,0.883586,0.942323,33,0.00148169,2,0.063876,0.102528,0.025223,0.939666,0.904776,0.974556,0.970135,0.974179,0.966092,0.022913,0.005014,0.024533,0.032432,0.000000,15,0,2,0,1
375,1966.882,0.142123,0.918451,0.887511,0.949391,33,0.00119646,3,0.061380,0.097774,0.024985,0.941882,0.908798,0.974967,0.973699,0.974287,0.973111,0.021717,0.004876,0.024419,0.026191,0.000000,15,0,2,0,1
400,2247.172,0.135608,0.920654,0.893246,0.948062,33,0.00105011,2,0.059761,0.090968,0.028554,0.943086,0.914622,0.971550,0.974818,0.974503,0.975134,0.020253,0.005318,0.024214,0.023360,0.000000,15,0,2,0,1
425,2290.681,0.126613,0.925974,0.900655,0.951293,33,0.00089204,3,0.057264,0.088591,0.025937,0.945621,0.917130,0.974112,0.978206,0.980445,0.975967,0.019649,0.005104,0.018779,0.022195,0.000000,15,0,2,0,1
450,2557.859,0.117612,0.930231,0.908318,0.952144,32,0.00079070,2,0.053683,0.080596,0.026770,0.948733,0.924118,0.973348,0.979579,0.981525,0.977632,0.017685,0.005280,0.017420,0.020785,0.000000,15,0,3,0,1
475,2600.081,0.111977,0.933412,0.912110,0.954714,32,0.00085631,2,0.052030,0.076815,0.027246,0.950217,0.927464,0.972970,0.981450,0.982174,0.980726,0.016859,0.005373,0.016915,0.017909,0.000000,15,0,3,0,1
500,2872.205,0.105932,0.937619,0.915635,0.959604,32,0.00088857,3,0.047576,0.073142,0.022011,0.954385,0.930720,0.978049,0.981666,0.982606,0.980726,0.016330,0.004389,0.016103,0.018033,0.000000,15,0,3,0,1
525,2914.442,0.103756,0.938491,0.918020,0.958963,32,0.00071318,3,0.047426,0.071413,0.023438,0.954492,0.932309,0.976675,0.982509,0.983578,0.981440,0.015811,0.004574,0.015446,0.017744,0.000000,15,0,3,0,1
550,3169.471,0.101834,0.939942,0.917423,0.962462,30,0.00050661,2,0.046052,0.071521,0.020583,0.955827,0.932179,0.979476,0.982655,0.983038,0.982272,0.015860,0.004097,0.016469,0.016458,0.000000,15,0,5,0,1
575,3209.365,0.104379,0.938668,0.918086,0.959250,30,0.00051429,1,0.047085,0.072277,0.021892,0.954879,0.931602,0.978155,0.982346,0.984443,0.980250,0.016037,0.004396,0.014970,0.018873,0.000000,15,0,5,0,1
600,3464.473,0.102282,0.938647,0.919657,0.957637,30,0.00053412,1,0.048421,0.071737,0.025104,0.953610,0.932155,0.975065,0.983654,0.985631,0.981678,0.015986,0.004730,0.013751,0.016616,0.000000,15,0,5,0,1
625,3504.742,0.097466,0.941935,0.924121,0.959749,30,0.00056819,1,0.044584,0.066443,0.022725,0.957106,0.936839,0.977372,0.983541,0.985523,0.981559,0.014854,0.004459,0.013742,0.016859,0.000000,15,0,5,0,1
650,3744.427,0.096103,0.943264,0.925008,0.961521,30,0.00054158,1,0.041774,0.063202,0.020345,0.959650,0.939616,0.979684,0.982276,0.983470,0.981083,0.014121,0.003925,0.015887,0.018293,0.000000,15,0,5,0,1
675,3784.329,0.093995,0.944628,0.926837,0.962418,30,0.00055201,1,0.041298,0.063202,0.019393,0.960172,0.939728,0.980616,0.983249,0.985415,0.981083,0.014232,0.003763,0.014115,0.017916,0.000000,15,0,5,0,1
700,4019.486,0.093892,0.945145,0.923451,0.966839,30,0.00061581,1,0.040464,0.065579,0.015348,0.961063,0.937519,0.984606,0.982844,0.984010,0.981678,0.014628,0.003053,0.015337,0.017784,0.000000,15,0,5,0,1
725,4058.281,0.093315,0.945474,0.924215,0.966733,30,0.00061716,2,0.041020,0.066335,0.015705,0.960596,0.936935,0.984258,0.983719,0.985523,0.981916,0.014902,0.003088,0.014131,0.017112,0.000000,15,0,5,0,1
