step,seconds,loss,mean_iou,view1_iou,view2_iou,patches,overlap,overlap_repaired_pairs,mean_spill,view1_spill,view2_spill,mean_precision,view1_precision,view2_precision,mean_coverage,view1_coverage,view2_coverage,view1_negative_space,view2_negative_space,view1_silhouette,view2_silhouette,lambda_count,total_adds,total_splits,total_deletes,count_active,target_reached
1,1.381,1.613430,0.168735,0.149465,0.188006,20,0.00043499,0,0.333719,0.160265,0.507174,0.439075,0.519710,0.358439,0.228388,0.173419,0.283357,0.037710,0.029527,0.821870,0.701541,0.000000,0,0,0,0,0
25,27.127,1.254513,0.302927,0.260419,0.345435,20,0.00000573,1,0.224553,0.085762,0.363343,0.665882,0.767276,0.564488,0.376850,0.282753,0.470947,0.019970,0.020926,0.711698,0.518616,0.000000,0,0,0,0,0
50,188.122,0.989440,0.420438,0.394711,0.446166,23,0.00001845,0,0.229783,0.070399,0.389168,0.735732,0.857173,0.614291,0.521149,0.422498,0.619799,0.016398,0.022348,0.572245,0.372134,0.000000,3,0,0,0,0
75,217.496,0.762571,0.528025,0.521504,0.534545,23,0.00045313,1,0.226290,0.071662,0.380918,0.772982,0.886348,0.659615,0.648520,0.558876,0.738164,0.016424,0.021606,0.436346,0.258483,0.000000,3,0,0,0,0
100,410.596,0.601844,0.604871,0.622837,0.586905,26,0.00007931,1,0.211021,0.057982,0.364060,0.803264,0.919125,0.687404,0.729762,0.658950,0.800574,0.013328,0.020742,0.335846,0.196529,0.000000,6,0,0,0,0
125,444.528,0.496636,0.654480,0.697474,0.611486,26,0.00010876,2,0.221248,0.062296,0.380201,0.805932,0.922442,0.689423,0.792449,0.740924,0.843974,0.014250,0.021738,0.255560,0.152222,0.000000,6,0,0,0,0
150,663.561,0.411651,0.697814,0.749728,0.645899,29,0.00014777,1,0.214726,0.065032,0.364419,0.816073,0.924689,0.707458,0.839881,0.798485,0.881277,0.014983,0.020370,0.198757,0.117107,0.000000,9,0,0,0,0
175,701.121,0.348267,0.736564,0.797843,0.675286,29,0.00010835,3,0.190622,0.063454,0.317791,0.833638,0.930418,0.736858,0.869177,0.848469,0.889885,0.014544,0.018093,0.148605,0.107725,0.000000,9,0,0,0,0
200,934.966,0.301114,0.762192,0.835202,0.689182,31,0.00008468,1,0.178675,0.051037,0.306313,0.845595,0.945055,0.746136,0.889057,0.877828,0.900287,0.011665,0.017404,0.118991,0.099238,0.000000,12,0,1,0,0
225,975.280,0.257004,0.785733,0.867506,0.703960,31,0.00004106,2,0.169800,0.044407,0.295194,0.854350,0.953277,0.755423,0.908897,0.906030,0.911765,0.010136,0.016500,0.091104,0.087878,0.000000,12,0,1,0,0
