step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.380,0.160633,0.163823,0.157443,1.071777,20
25,27.063,0.274316,0.285689,0.262944,0.833066,20
50,53.376,0.414796,0.415425,0.414166,0.668332,20
75,79.515,0.533542,0.520588,0.546496,0.529402,20
100,106.097,0.623953,0.627408,0.620498,0.438695,20
125,132.532,0.678786,0.672778,0.684795,0.384045,20
150,158.941,0.713365,0.685323,0.741406,0.344279,20
175,185.498,0.720530,0.680215,0.760844,0.328694,20
200,212.058,0.733840,0.690078,0.777603,0.315898,20
225,238.416,0.743379,0.684830,0.801927,0.304678,20
250,264.387,0.754530,0.685279,0.823780,0.290483,20
275,290.090,0.765725,0.686574,0.844876,0.279666,20
300,315.755,0.770230,0.677473,0.862986,0.279640,20
325,341.416,0.774124,0.679131,0.869117,0.276449,20
350,367.074,0.775942,0.677442,0.874442,0.273834,20
375,392.733,0.778971,0.675870,0.882071,0.271527,20
400,418.446,0.783873,0.679201,0.888546,0.268201,20
425,444.266,0.783615,0.676816,0.890413,0.266065,20
450,470.246,0.785916,0.675972,0.895859,0.264156,20
475,496.080,0.788228,0.675714,0.900742,0.262698,20
500,521.668,0.788367,0.675848,0.900886,0.264803,20
525,547.541,0.785553,0.671277,0.899829,0.273742,20
550,573.269,0.786210,0.674166,0.898254,0.265846,20
575,599.091,0.788494,0.683737,0.893251,0.257336,20
600,624.908,0.787849,0.683852,0.891846,0.254782,20
625,650.706,0.784538,0.680369,0.888707,0.265378,20
650,676.303,0.782582,0.679135,0.886029,0.268791,20
675,701.824,0.781683,0.681670,0.881696,0.268042,20
