step,seconds,mean_iou,view1_iou,view2_iou,loss,patches
1,1.397,0.238938,0.185128,0.292748,0.742472,20
25,27.140,0.365969,0.338126,0.393812,0.552908,20
50,53.167,0.484458,0.464569,0.504348,0.439155,20
75,79.183,0.568221,0.543081,0.593360,0.362779,20
100,105.803,0.641181,0.596897,0.685465,0.303560,20
125,132.573,0.685157,0.630891,0.739423,0.270784,20
150,159.083,0.708851,0.641682,0.776021,0.252081,20
175,185.768,0.735088,0.652241,0.817935,0.231385,20
200,212.515,0.749296,0.654215,0.844376,0.220503,20
225,239.202,0.758951,0.657944,0.859958,0.211331,20
250,265.880,0.760596,0.658952,0.862240,0.210106,20
275,292.375,0.766806,0.659410,0.874203,0.206356,20
300,318.645,0.768066,0.660350,0.875782,0.207075,20
325,344.935,0.777578,0.665874,0.889282,0.197656,20
350,371.325,0.783805,0.668012,0.899598,0.192411,20
375,397.462,0.785739,0.667840,0.903637,0.190125,20
400,423.748,0.788938,0.667497,0.910379,0.187084,20
425,449.949,0.789444,0.669710,0.909177,0.186316,20
450,476.460,0.792469,0.678898,0.906039,0.183156,20
475,503.086,0.796312,0.684403,0.908222,0.179365,20
500,529.755,0.798521,0.685667,0.911376,0.178894,20
525,556.348,0.807509,0.699157,0.915860,0.172992,20
550,583.007,0.818308,0.719821,0.916795,0.164032,20
575,609.588,0.830970,0.746466,0.915475,0.153456,20
600,636.142,0.836456,0.758326,0.914587,0.148617,20
625,662.769,0.837298,0.760612,0.913985,0.147765,20
650,689.298,0.835026,0.759584,0.910467,0.150309,20
675,716.026,0.836614,0.762396,0.910833,0.147995,20
700,742.635,0.837018,0.762118,0.911918,0.147757,20
725,769.378,0.834120,0.761104,0.907136,0.150579,20
750,796.061,0.835188,0.760748,0.909628,0.149715,20
775,822.485,0.837769,0.764504,0.911035,0.146747,20
800,849.141,0.836006,0.762019,0.909993,0.149150,20
825,875.128,0.838813,0.763114,0.914512,0.147423,20
850,901.370,0.837617,0.760732,0.914502,0.148965,20
875,927.556,0.839431,0.762078,0.916785,0.146581,20
900,953.719,0.843166,0.764583,0.921749,0.142398,20
925,980.280,0.844950,0.764240,0.925659,0.141221,20
950,1006.890,0.848780,0.768542,0.929019,0.138539,20
975,1033.545,0.850024,0.773191,0.926858,0.138095,20
1000,1060.284,0.853207,0.780973,0.925440,0.134208,20
1025,1086.966,0.858108,0.791147,0.925068,0.131642,20
1050,1113.540,0.861812,0.799501,0.924122,0.130002,20
1075,1140.341,0.863793,0.804626,0.922959,0.125932,20
1100,1166.987,0.860734,0.799128,0.922340,0.130417,20
1125,1193.732,0.862227,0.801060,0.923395,0.129053,20
1150,1220.366,0.864249,0.801916,0.926582,0.126937,20
1175,1247.004,0.864681,0.801331,0.928031,0.127203,20
1200,1273.578,0.862693,0.802446,0.922941,0.128623,20
1225,1300.241,0.862107,0.801100,0.923113,0.129658,20
1250,1326.417,0.863489,0.803410,0.923568,0.127665,20
1275,1351.829,0.864301,0.802952,0.925650,0.126604,20
1300,1377.132,0.865674,0.806499,0.924849,0.124871,20
1325,1402.518,0.865057,0.805636,0.924477,0.126078,20
1350,1428.302,0.865102,0.803958,0.926245,0.127002,20
